best_tour_length,best_tour
375.9732487047286,"[10, 15, 13, 3, 23, 24, 0, 17, 2, 8, 18, 16, 1, 14, 22, 9, 12, 7, 19, 6, 21, 5, 11, 4, 20]"
441.13091393974554,"[13, 0, 7, 4, 19, 24, 18, 6, 3, 16, 11, 12, 22, 20, 2, 17, 10, 9, 1, 23, 21, 5, 8, 15, 14]"
428.00237804457635,"[4, 23, 19, 16, 9, 13, 0, 22, 11, 17, 3, 10, 20, 5, 14, 15, 1, 12, 6, 21, 24, 18, 2, 7, 8]"
418.7325961830546,"[5, 14, 17, 11, 19, 24, 22, 3, 20, 21, 12, 13, 1, 0, 8, 16, 15, 7, 2, 6, 23, 9, 18, 4, 10]"
417.73300932262305,"[2, 12, 20, 7, 19, 0, 23, 4, 5, 16, 9, 15, 8, 18, 17, 1, 11, 24, 14, 3, 21, 13, 6, 10, 22]"
507.80171248007724,"[6, 3, 0, 7, 12, 17, 21, 16, 1, 22, 15, 13, 9, 24, 8, 20, 5, 4, 14, 11, 10, 18, 23, 2, 19]"
455.7752875829007,"[1, 10, 15, 5, 21, 8, 6, 12, 9, 3, 24, 14, 16, 22, 0, 13, 23, 4, 18, 2, 19, 17, 11, 7, 20]"
460.11371089479974,"[4, 9, 13, 15, 12, 19, 1, 22, 6, 5, 21, 11, 2, 8, 10, 20, 24, 14, 18, 17, 0, 16, 23, 7, 3]"
452.2760397776364,"[22, 3, 0, 23, 19, 2, 10, 1, 13, 4, 21, 12, 9, 24, 20, 16, 18, 11, 7, 5, 14, 15, 17, 6, 8]"
496.7532898980706,"[2, 19, 0, 3, 20, 16, 6, 21, 23, 10, 22, 13, 7, 11, 17, 1, 15, 8, 9, 14, 12, 24, 18, 4, 5]"
381.6457839469952,"[22, 24, 11, 0, 10, 20, 16, 14, 7, 23, 6, 3, 19, 9, 18, 12, 8, 15, 17, 13, 1, 21, 4, 5, 2]"
390.927359029214,"[15, 0, 14, 11, 21, 18, 17, 24, 9, 13, 7, 20, 6, 1, 22, 4, 2, 8, 3, 12, 19, 23, 5, 10, 16]"
504.45309805658775,"[3, 1, 9, 18, 20, 2, 4, 21, 22, 17, 24, 14, 15, 10, 8, 5, 6, 7, 13, 16, 12, 23, 0, 11, 19]"
466.2640945970744,"[8, 22, 9, 17, 1, 16, 12, 21, 6, 0, 19, 7, 15, 14, 18, 2, 10, 4, 13, 24, 11, 3, 20, 23, 5]"
404.89016711048856,"[7, 22, 14, 1, 12, 10, 15, 2, 16, 4, 17, 11, 24, 18, 23, 13, 8, 3, 6, 0, 5, 19, 21, 9, 20]"
408.0775438288382,"[7, 14, 22, 11, 24, 23, 19, 9, 13, 0, 15, 12, 10, 8, 18, 5, 6, 17, 21, 3, 16, 20, 1, 2, 4]"
468.01478888282315,"[22, 8, 12, 2, 10, 15, 23, 20, 13, 4, 3, 21, 17, 24, 5, 19, 6, 18, 1, 16, 14, 9, 7, 0, 11]"
447.4708380687008,"[5, 16, 8, 14, 13, 19, 6, 9, 23, 24, 21, 1, 2, 0, 17, 3, 10, 12, 7, 20, 22, 4, 18, 11, 15]"
453.3871262213324,"[8, 22, 4, 17, 18, 20, 19, 24, 14, 13, 1, 12, 5, 16, 7, 3, 15, 6, 10, 11, 0, 2, 23, 21, 9]"
412.98132403120593,"[14, 18, 19, 5, 15, 21, 7, 13, 2, 6, 11, 24, 8, 23, 9, 16, 0, 10, 17, 12, 22, 20, 4, 1, 3]"
