best_tour_length,best_tour
839.616836034943,"[19, 64, 54, 96, 81, 46, 36, 58, 3, 39, 63, 31, 26, 52, 68, 20, 67, 32, 12, 0, 55, 44, 38, 42, 78, 14, 92, 72, 40, 23, 4, 88, 28, 9, 86, 50, 91, 15, 74, 18, 70, 1, 94, 66, 25, 7, 22, 89, 8, 99, 65, 95, 5, 51, 6, 62, 35, 56, 49, 85, 27, 48, 98, 80, 75, 57, 10, 13, 90, 33, 2, 45, 41, 11, 24, 60, 73, 84, 29, 71, 43, 21, 76, 47, 83, 37, 61, 87, 17, 79, 93, 82, 16, 97, 69, 53, 77, 34, 30, 59]"
856.3540514644985,"[47, 87, 74, 39, 2, 35, 57, 96, 33, 76, 46, 60, 38, 90, 1, 44, 18, 21, 20, 34, 78, 73, 19, 72, 54, 29, 92, 23, 70, 0, 69, 51, 41, 42, 27, 24, 59, 83, 55, 71, 75, 7, 9, 8, 68, 48, 81, 17, 13, 45, 82, 3, 66, 99, 14, 15, 49, 77, 85, 64, 65, 91, 63, 40, 11, 10, 32, 50, 61, 12, 93, 22, 30, 53, 80, 98, 25, 95, 5, 62, 52, 43, 37, 36, 4, 79, 6, 94, 86, 67, 56, 89, 84, 26, 97, 88, 58, 16, 28, 31]"
784.3665178594551,"[61, 47, 2, 63, 95, 5, 6, 44, 54, 80, 41, 10, 14, 99, 60, 12, 46, 51, 74, 64, 68, 16, 81, 8, 52, 90, 11, 0, 58, 77, 53, 62, 97, 34, 70, 91, 38, 83, 20, 89, 43, 32, 45, 84, 17, 31, 73, 4, 7, 40, 24, 93, 87, 96, 35, 48, 19, 98, 57, 69, 36, 15, 82, 9, 85, 75, 3, 21, 37, 27, 26, 65, 86, 39, 78, 22, 25, 50, 72, 49, 23, 18, 71, 59, 66, 55, 13, 92, 79, 76, 29, 28, 33, 1, 56, 42, 94, 88, 67, 30]"
826.5156341079897,"[41, 99, 73, 61, 54, 62, 21, 51, 76, 42, 68, 6, 20, 75, 47, 5, 70, 82, 32, 49, 10, 1, 25, 43, 28, 17, 58, 65, 18, 31, 79, 3, 11, 48, 93, 67, 16, 81, 22, 90, 4, 74, 35, 66, 55, 24, 30, 80, 23, 77, 12, 86, 44, 87, 52, 98, 63, 69, 53, 45, 56, 85, 0, 89, 2, 64, 39, 37, 91, 72, 60, 92, 34, 78, 15, 97, 50, 88, 8, 33, 27, 9, 13, 7, 57, 19, 14, 26, 83, 95, 59, 71, 46, 94, 40, 96, 36, 84, 29, 38]"
798.5893995476079,"[38, 2, 29, 96, 18, 91, 83, 22, 97, 15, 99, 90, 30, 68, 33, 25, 80, 4, 75, 37, 14, 13, 54, 3, 27, 7, 62, 87, 1, 24, 19, 94, 60, 20, 56, 67, 88, 95, 45, 16, 35, 63, 10, 53, 48, 72, 46, 34, 0, 57, 21, 58, 76, 5, 12, 40, 79, 98, 9, 59, 17, 39, 6, 41, 71, 89, 70, 43, 8, 93, 55, 36, 86, 84, 42, 26, 44, 47, 82, 61, 81, 69, 11, 50, 78, 74, 28, 77, 73, 66, 31, 65, 85, 49, 51, 52, 32, 92, 23, 64]"
871.3501726205321,"[52, 95, 68, 21, 51, 10, 23, 71, 86, 31, 73, 34, 20, 0, 13, 39, 35, 96, 91, 17, 9, 57, 99, 30, 11, 97, 44, 3, 58, 48, 18, 6, 90, 16, 78, 81, 63, 40, 82, 88, 89, 29, 65, 26, 55, 93, 7, 98, 47, 38, 83, 37, 27, 41, 87, 70, 14, 80, 79, 43, 32, 94, 50, 8, 69, 54, 22, 85, 4, 92, 62, 12, 67, 49, 28, 2, 1, 76, 84, 77, 61, 60, 74, 36, 24, 15, 45, 33, 66, 53, 46, 64, 5, 75, 19, 25, 56, 59, 72, 42]"
902.7951791496529,"[94, 61, 15, 57, 42, 22, 90, 3, 91, 82, 96, 19, 2, 86, 39, 83, 78, 30, 5, 48, 4, 66, 31, 27, 97, 37, 74, 9, 14, 33, 32, 56, 41, 87, 59, 60, 24, 98, 92, 71, 95, 63, 64, 34, 7, 38, 99, 58, 11, 13, 68, 55, 93, 40, 18, 62, 44, 6, 75, 28, 77, 36, 10, 49, 88, 67, 29, 79, 51, 80, 47, 26, 12, 85, 8, 17, 1, 23, 81, 69, 54, 73, 43, 89, 53, 50, 21, 0, 16, 70, 84, 52, 65, 46, 35, 25, 20, 76, 72, 45]"
795.6944991952486,"[46, 12, 36, 97, 61, 47, 57, 62, 71, 28, 17, 2, 66, 1, 56, 0, 72, 88, 25, 78, 16, 89, 92, 75, 76, 11, 80, 63, 26, 50, 30, 13, 49, 42, 83, 37, 29, 98, 19, 31, 73, 60, 58, 14, 87, 99, 69, 43, 5, 39, 10, 45, 40, 68, 52, 65, 96, 79, 64, 34, 74, 7, 3, 32, 6, 48, 77, 70, 67, 59, 24, 54, 90, 93, 41, 15, 21, 23, 8, 9, 94, 86, 4, 44, 82, 27, 51, 91, 20, 18, 85, 35, 38, 55, 84, 33, 81, 95, 22, 53]"
878.2075582055932,"[19, 72, 5, 51, 69, 97, 1, 89, 77, 21, 47, 43, 96, 99, 87, 86, 88, 41, 18, 70, 64, 10, 71, 36, 42, 0, 15, 49, 85, 8, 40, 75, 24, 95, 52, 83, 45, 37, 39, 80, 46, 66, 62, 92, 33, 3, 98, 9, 48, 84, 29, 67, 73, 14, 78, 61, 2, 25, 76, 32, 50, 91, 60, 13, 6, 53, 30, 44, 63, 65, 7, 16, 22, 56, 4, 35, 54, 82, 12, 23, 57, 58, 55, 93, 74, 26, 17, 81, 94, 27, 90, 31, 34, 11, 28, 20, 79, 38, 59, 68]"
894.0616001116402,"[80, 38, 44, 25, 1, 65, 5, 79, 22, 24, 28, 86, 62, 70, 27, 75, 40, 88, 82, 45, 21, 3, 42, 23, 8, 17, 54, 10, 89, 46, 97, 69, 99, 30, 98, 96, 43, 66, 94, 63, 36, 47, 53, 32, 55, 7, 34, 31, 15, 12, 48, 59, 74, 83, 58, 57, 18, 29, 11, 95, 49, 20, 52, 33, 87, 51, 4, 60, 78, 26, 0, 19, 39, 72, 37, 16, 93, 13, 84, 73, 77, 41, 35, 14, 76, 64, 90, 81, 2, 9, 61, 91, 56, 67, 85, 71, 50, 92, 68, 6]"
833.392652419413,"[30, 65, 90, 18, 70, 86, 62, 19, 74, 88, 51, 58, 14, 22, 23, 49, 33, 44, 42, 6, 72, 50, 40, 28, 26, 52, 3, 41, 45, 85, 20, 31, 1, 12, 68, 87, 60, 11, 79, 21, 55, 82, 84, 16, 78, 43, 59, 10, 5, 29, 36, 7, 13, 38, 66, 75, 27, 77, 4, 56, 39, 92, 73, 35, 89, 71, 94, 9, 91, 81, 17, 99, 98, 53, 95, 64, 15, 37, 97, 2, 63, 47, 32, 24, 67, 96, 80, 46, 69, 25, 0, 48, 34, 61, 93, 57, 8, 83, 76, 54]"
776.3124806643366,"[0, 17, 83, 27, 81, 31, 3, 48, 99, 51, 42, 72, 45, 25, 82, 80, 79, 70, 54, 1, 12, 13, 21, 84, 32, 74, 94, 40, 93, 88, 18, 37, 19, 23, 10, 56, 76, 77, 43, 47, 2, 5, 64, 73, 6, 50, 22, 41, 16, 78, 52, 39, 8, 98, 53, 96, 71, 87, 89, 29, 15, 20, 44, 85, 58, 59, 91, 55, 62, 9, 14, 90, 95, 33, 63, 36, 30, 57, 61, 11, 4, 60, 35, 28, 67, 49, 7, 92, 69, 68, 66, 97, 75, 65, 86, 46, 34, 24, 26, 38]"
946.6285977775203,"[22, 29, 96, 6, 0, 45, 95, 53, 62, 85, 60, 16, 34, 74, 12, 50, 78, 83, 68, 52, 35, 51, 15, 18, 41, 88, 98, 43, 23, 24, 10, 84, 75, 30, 49, 66, 31, 71, 79, 26, 48, 7, 57, 40, 55, 86, 72, 63, 25, 90, 89, 73, 4, 77, 17, 80, 54, 38, 93, 64, 44, 87, 20, 82, 67, 3, 70, 59, 46, 19, 94, 9, 81, 27, 36, 39, 13, 14, 58, 5, 97, 28, 8, 65, 42, 92, 91, 2, 1, 21, 33, 61, 56, 76, 32, 37, 11, 69, 47, 99]"
849.3336236999323,"[99, 90, 5, 81, 78, 79, 60, 97, 26, 1, 41, 11, 47, 68, 83, 12, 48, 91, 62, 76, 14, 21, 63, 85, 59, 52, 31, 6, 20, 93, 15, 3, 38, 28, 57, 8, 19, 24, 36, 43, 33, 50, 80, 32, 65, 22, 56, 35, 89, 94, 66, 64, 84, 72, 54, 98, 51, 42, 77, 10, 86, 73, 67, 37, 39, 61, 71, 17, 82, 29, 92, 30, 40, 49, 34, 70, 45, 18, 53, 88, 44, 0, 27, 13, 55, 25, 69, 87, 74, 96, 4, 75, 95, 23, 16, 9, 46, 2, 58, 7]"
